                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7773,                  3.759,                 1.6957,                0.47375,                0.55609,                0.48547,                0.24793,                 1.6852,                 1.7362,                 1.9188,               0.070678,              0.0039984,              0.0039984
                      2,                 1.5335,                 1.5444,                 1.4059,                0.64841,                0.47878,                0.57619,                0.32478,                 1.4213,                 1.4883,                 1.7359,               0.041344,              0.0079977,              0.0079977
                      3,                 1.5211,                 1.5293,                 1.4147,                0.67014,                0.49081,                0.54911,                0.28468,                 1.5539,                 1.6238,                 1.8717,               0.012007,               0.011994,               0.011994
                      4,                 1.5285,                 1.4725,                 1.3851,                0.50776,                0.46254,                0.47858,                0.24907,                 1.6321,                 1.6251,                 2.0249,               0.011991,               0.011991,               0.011991
                      5,                 1.4847,                  1.328,                 1.3523,                0.69947,                  0.566,                0.59808,                0.27413,                 1.7601,                 1.4143,                 2.1537,               0.011983,               0.011983,               0.011983
                      6,                 1.4492,                 1.2363,                 1.3234,                0.56886,                0.61249,                0.59797,                0.36328,                 1.5036,                 1.2785,                 1.8345,               0.011974,               0.011974,               0.011974
                      7,                 1.3955,                  1.145,                 1.3051,                0.61626,                0.57783,                0.60822,                0.32416,                 1.6551,                 1.2894,                   2.01,               0.011962,               0.011962,               0.011962
                      8,                 1.3927,                 1.0958,                 1.2884,                 0.6216,                0.66352,                0.66219,                0.41452,                 1.4814,                 1.1114,                  1.856,               0.011949,               0.011949,               0.011949
                      9,                 1.3649,                 1.0504,                 1.2739,                 0.6006,                0.69387,                0.66033,                0.40108,                 1.5243,                 1.0824,                  1.893,               0.011933,               0.011933,               0.011933
                     10,                 1.3595,                 1.0044,                  1.259,                 0.6961,                 0.6505,                0.64826,                0.40725,                 1.4927,                 1.1053,                 1.8891,               0.011915,               0.011915,               0.011915
                     11,                 1.3555,                0.97488,                 1.2544,                0.74893,                0.67723,                0.68543,                0.42934,                 1.4988,                 1.0111,                 1.8852,               0.011895,               0.011895,               0.011895
                     12,                 1.3165,                0.92394,                  1.246,                0.69042,                0.67396,                0.69942,                0.45017,                 1.4812,                0.99953,                 1.8638,               0.011873,               0.011873,               0.011873
                     13,                 1.3196,                0.89887,                 1.2382,                0.70878,                0.67947,                0.69323,                0.45701,                 1.3575,                0.93299,                  1.766,               0.011849,               0.011849,               0.011849
                     14,                 1.3164,                0.90038,                 1.2369,                0.79717,                0.65717,                0.73625,                0.45737,                 1.4885,                 0.9322,                 1.9021,               0.011823,               0.011823,               0.011823
                     15,                 1.3212,                0.86724,                 1.2201,                0.76053,                0.73008,                0.73549,                0.47494,                 1.3774,                0.90578,                 1.7459,               0.011795,               0.011795,               0.011795
                     16,                 1.2882,                0.82878,                 1.2215,                0.70473,                0.72276,                0.73719,                0.46296,                 1.4422,                0.89313,                 1.8706,               0.011765,               0.011765,               0.011765
                     17,                  1.289,                0.82779,                 1.2047,                0.80161,                0.67643,                0.71893,                0.46666,                 1.4126,                0.91742,                 1.8029,               0.011733,               0.011733,               0.011733
                     18,                 1.2881,                0.80276,                  1.204,                 0.7542,                0.68988,                0.72175,                0.47099,                 1.4372,                0.87439,                 1.8247,               0.011699,               0.011699,               0.011699
                     19,                 1.2548,                0.75883,                 1.1965,                0.75454,                0.64107,                0.69753,                0.46904,                 1.3582,                0.90284,                 1.7577,               0.011663,               0.011663,               0.011663
                     20,                  1.246,                0.75933,                 1.1942,                0.71165,                0.69996,                0.71044,                0.47372,                 1.3703,                0.84018,                 1.7776,               0.011625,               0.011625,               0.011625
                     21,                 1.2567,                0.75739,                 1.1917,                0.83645,                 0.6896,                0.75238,                0.49844,                 1.3837,                 0.8118,                 1.7649,               0.011585,               0.011585,               0.011585
