                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.067,                 4.2631,                 1.7658,                0.43898,                0.50889,                0.49936,                0.28682,                 1.4775,                 1.6829,                 1.8117,               0.070006,              0.0033327,              0.0033327
                      2,                 1.7833,                 1.7664,                 1.4133,                0.63584,                0.57284,                0.56955,                 0.2641,                 1.6827,                 1.5335,                 2.0414,               0.040004,              0.0066647,              0.0066647
                      3,                 1.7668,                 1.6701,                 1.3948,                0.53774,                0.56162,                0.56109,                0.30381,                 1.5259,                 1.5768,                  1.866,              0.0099979,              0.0099915,              0.0099915
                      4,                 1.7595,                 1.6039,                 1.3875,                0.61272,                 0.4808,                0.50859,                0.26128,                 1.5682,                 1.4933,                 1.9308,              0.0099822,              0.0099822,              0.0099822
                      5,                 1.7087,                 1.4743,                  1.348,                0.64692,                0.54847,                0.55228,                0.32345,                 1.4571,                 1.3351,                 1.8162,              0.0099685,              0.0099685,              0.0099685
                      6,                 1.6813,                 1.3413,                 1.3212,                0.59213,                0.62875,                0.61659,                0.37166,                 1.5126,                 1.2047,                 1.9081,              0.0099508,              0.0099508,              0.0099508
                      7,                 1.6709,                  1.275,                 1.2923,                0.69412,                0.59391,                0.64515,                0.35503,                 1.5498,                 1.2204,                      2,              0.0099291,              0.0099291,              0.0099291
                      8,                 1.6446,                  1.206,                 1.2843,                0.62785,                0.69194,                0.65163,                0.38813,                 1.5476,                 1.1013,                 1.9233,              0.0099037,              0.0099037,              0.0099037
                      9,                 1.6149,                 1.1295,                 1.2568,                0.64925,                0.67644,                0.66785,                0.39092,                  1.591,                 1.1403,                 2.0059,              0.0098743,              0.0098743,              0.0098743
                     10,                 1.6162,                 1.0839,                 1.2477,                  0.773,                0.62909,                0.68236,                0.43282,                  1.433,                 1.0293,                 1.8616,              0.0098412,              0.0098412,              0.0098412
                     11,                 1.5827,                 1.0433,                 1.2477,                0.72406,                 0.6373,                0.70737,                0.41739,                 1.6174,                 1.0804,                 2.0694,              0.0098042,              0.0098042,              0.0098042
                     12,                  1.589,                  1.011,                 1.2354,                0.64007,                0.71322,                0.70299,                0.43067,                 1.4372,                0.97937,                 1.8479,              0.0097635,              0.0097635,              0.0097635
