                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7533,                  3.277,                 1.6783,                0.50484,                0.48831,                0.50687,                0.29222,                  1.505,                 1.6028,                 1.6683,               0.070006,              0.0033327,              0.0033327
                      2,                 1.4357,                 1.4938,                 1.3362,                0.64292,                0.59781,                0.62096,                0.28992,                 1.6522,                 1.2685,                 1.8021,               0.040004,              0.0066647,              0.0066647
                      3,                 1.4328,                 1.4066,                  1.327,                0.58094,                0.54325,                0.59381,                0.30163,                 1.5617,                 1.5536,                 1.7587,              0.0099979,              0.0099915,              0.0099915
                      4,                 1.4151,                 1.3692,                 1.3085,                0.66653,                0.58477,                0.64536,                0.32638,                  1.574,                 1.2747,                 1.7652,              0.0099822,              0.0099822,              0.0099822
                      5,                 1.3708,                 1.2529,                 1.2752,                0.63462,                0.64271,                0.66197,                0.37218,                 1.5721,                 1.2122,                 1.7197,              0.0099685,              0.0099685,              0.0099685
                      6,                 1.3439,                 1.1426,                 1.2362,                0.69914,                0.59088,                0.66068,                0.39741,                 1.5345,                 1.1456,                 1.7248,              0.0099508,              0.0099508,              0.0099508
                      7,                 1.3313,                 1.0851,                 1.2204,                0.74405,                0.63657,                0.69892,                0.38384,                 1.6342,                 1.1285,                 1.8306,              0.0099291,              0.0099291,              0.0099291
                      8,                 1.3096,                 1.0301,                 1.2074,                0.70728,                0.67106,                0.70053,                0.41016,                 1.5587,                 1.0837,                 1.7354,              0.0099037,              0.0099037,              0.0099037
                      9,                 1.2795,                0.95372,                 1.1838,                0.70302,                0.67403,                0.70535,                0.44259,                 1.4841,                 1.0337,                 1.6785,              0.0098743,              0.0098743,              0.0098743
                     10,                 1.2707,                0.91492,                 1.1708,                0.79202,                0.66166,                 0.7176,                0.47606,                 1.3893,                0.94514,                 1.6048,              0.0098412,              0.0098412,              0.0098412
                     11,                 1.2532,                0.89538,                 1.1678,                0.72432,                0.68095,                0.73987,                0.41706,                 1.6346,                 1.0128,                 1.8413,              0.0098042,              0.0098042,              0.0098042
                     12,                 1.2505,                0.86096,                 1.1651,                0.72511,                0.71136,                0.74488,                0.47084,                 1.4126,                0.95314,                 1.6168,              0.0097635,              0.0097635,              0.0097635
                     13,                 1.2341,                0.83906,                 1.1462,                 0.6839,                0.72728,                0.71917,                 0.4688,                  1.404,                0.90361,                  1.639,              0.0097191,              0.0097191,              0.0097191
                     14,                 1.2218,                 0.7976,                 1.1392,                0.78872,                0.66981,                0.75983,                0.48847,                 1.4246,                0.86234,                 1.6326,               0.009671,               0.009671,               0.009671
                     15,                 1.2238,                0.79016,                 1.1319,                0.77096,                0.67988,                0.74344,                0.48178,                 1.3809,                0.87382,                 1.5909,              0.0096193,              0.0096193,              0.0096193
                     16,                 1.2056,                0.77183,                 1.1265,                0.67533,                0.72143,                  0.733,                0.47698,                 1.3729,                0.85644,                  1.602,               0.009564,               0.009564,               0.009564
                     17,                 1.2174,                0.75134,                 1.1173,                0.71017,                0.73165,                0.74296,                0.46486,                  1.455,                0.88369,                  1.663,              0.0095052,              0.0095052,              0.0095052
                     18,                  1.189,                0.72441,                 1.1173,                0.85271,                0.61569,                0.72672,                0.48647,                 1.3812,                0.84528,                 1.6004,               0.009443,               0.009443,               0.009443
                     19,                 1.1919,                0.71316,                  1.109,                0.78917,                0.68109,                 0.7264,                0.48067,                 1.4107,                0.84267,                  1.644,              0.0093773,              0.0093773,              0.0093773
                     20,                  1.184,                0.69845,                 1.1004,                0.87547,                 0.6592,                0.74342,                0.47723,                 1.3885,                0.81243,                 1.6167,              0.0093083,              0.0093083,              0.0093083
                     21,                 1.1695,                0.70282,                 1.0948,                0.78937,                0.71068,                0.75409,                0.48691,                 1.4361,                 0.8298,                 1.6585,              0.0092361,              0.0092361,              0.0092361
                     22,                 1.1617,                0.68087,                 1.0933,                0.86224,                0.64936,                0.74833,                0.49801,                 1.3903,                0.80604,                 1.6452,              0.0091606,              0.0091606,              0.0091606
                     23,                 1.1434,                0.67116,                 1.0889,                0.81586,                0.66936,                0.75566,                 0.4945,                 1.3676,                0.77052,                 1.6261,              0.0090821,              0.0090821,              0.0090821
                     24,                 1.1395,                0.66654,                  1.083,                0.75049,                 0.6914,                0.75037,                0.50406,                 1.3582,                0.78151,                 1.6138,              0.0090004,              0.0090004,              0.0090004
                     25,                 1.1273,                0.64659,                 1.0765,                0.69899,                0.72947,                0.73005,                0.49069,                 1.3766,                0.80335,                  1.634,              0.0089159,              0.0089159,              0.0089159
                     26,                 1.1278,                0.64466,                 1.0829,                0.80491,                0.70446,                0.74849,                0.49749,                 1.3714,                0.82107,                 1.6214,              0.0088284,              0.0088284,              0.0088284
                     27,                 1.1172,                0.62035,                 1.0642,                0.79202,                0.70038,                0.74935,                0.50705,                 1.3681,                0.81446,                 1.6321,              0.0087382,              0.0087382,              0.0087382
                     28,                 1.1184,                 0.6195,                 1.0552,                0.74743,                 0.7042,                0.74557,                0.49642,                 1.3797,                0.78675,                 1.6349,              0.0086452,              0.0086452,              0.0086452
