                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7456,                 3.3023,                 1.6721,                0.52361,                0.50825,                0.50638,                 0.2847,                 1.4593,                 1.5409,                 1.6239,               0.070006,              0.0033327,              0.0033327
                      2,                 1.4358,                 1.4958,                 1.3352,                0.63796,                0.59065,                0.58587,                 0.2838,                 1.6498,                 1.4045,                 1.7872,               0.040004,              0.0066647,              0.0066647
                      3,                 1.4272,                 1.3999,                 1.3203,                0.70351,                0.54681,                0.59995,                0.32051,                 1.5378,                 1.4747,                 1.7462,              0.0099979,              0.0099915,              0.0099915
                      4,                  1.413,                 1.3677,                 1.3052,                0.62058,                0.56029,                0.59004,                0.29821,                 1.5533,                 1.3773,                 1.7473,              0.0099822,              0.0099822,              0.0099822
                      5,                 1.3696,                 1.2483,                 1.2715,                0.72462,                0.59825,                0.66224,                0.40205,                 1.4612,                 1.1737,                 1.6248,              0.0099685,              0.0099685,              0.0099685
                      6,                 1.3463,                 1.1389,                 1.2415,                 0.7169,                0.59119,                0.67613,                0.41378,                 1.4901,                 1.1323,                 1.6776,              0.0099508,              0.0099508,              0.0099508
                      7,                 1.3275,                 1.0804,                 1.2174,                0.73975,                 0.6292,                0.66387,                0.36154,                 1.5822,                 1.1189,                 1.7909,              0.0099291,              0.0099291,              0.0099291
                      8,                 1.3076,                  1.024,                 1.2103,                0.63667,                0.67244,                0.67871,                0.41065,                 1.5453,                 1.0807,                 1.7142,              0.0099037,              0.0099037,              0.0099037
                      9,                 1.2772,                 0.9535,                 1.1845,                0.60921,                0.68148,                0.69342,                0.43912,                 1.5162,                  1.101,                 1.7326,              0.0098743,              0.0098743,              0.0098743
                     10,                 1.2736,                0.91888,                 1.1736,                 0.8188,                0.65482,                0.75078,                0.48282,                 1.4071,                0.93464,                 1.6523,              0.0098412,              0.0098412,              0.0098412
                     11,                  1.252,                0.89536,                 1.1696,                0.65738,                0.64685,                 0.6802,                0.39464,                 1.6118,                 1.0211,                 1.8226,              0.0098042,              0.0098042,              0.0098042
                     12,                 1.2492,                0.85996,                 1.1663,                0.68808,                0.67391,                0.71259,                0.45445,                 1.4251,                0.97536,                 1.6192,              0.0097635,              0.0097635,              0.0097635
                     13,                 1.2387,                0.83942,                 1.1488,                0.72497,                0.70008,                0.74384,                0.48839,                 1.4195,                0.89147,                 1.6578,              0.0097191,              0.0097191,              0.0097191
                     14,                 1.2241,                0.80497,                 1.1422,                0.75208,                0.67886,                0.74227,                0.46107,                 1.4544,                0.89753,                 1.6643,               0.009671,               0.009671,               0.009671
                     15,                 1.2269,                0.79902,                 1.1315,                0.72518,                0.72882,                0.74311,                0.49023,                 1.3775,                0.87606,                 1.5877,              0.0096193,              0.0096193,              0.0096193
                     16,                 1.2094,                0.77547,                 1.1293,                0.66483,                0.76175,                0.74832,                0.48515,                 1.3863,                0.80824,                 1.6286,               0.009564,               0.009564,               0.009564
                     17,                 1.2239,                0.75864,                 1.1213,                0.86009,                0.69384,                0.76133,                0.49348,                 1.4122,                 0.8494,                 1.6238,              0.0095052,              0.0095052,              0.0095052
                     18,                 1.1885,                0.72808,                  1.114,                 0.7038,                0.71755,                0.73056,                0.47243,                 1.4148,                0.85339,                 1.6582,               0.009443,               0.009443,               0.009443
                     19,                 1.1939,                 0.7121,                 1.1073,                0.77521,                0.67244,                0.71367,                0.45298,                 1.4397,                 0.9151,                 1.6608,              0.0093773,              0.0093773,              0.0093773
                     20,                 1.1851,                0.69984,                 1.0981,                0.72673,                0.65148,                0.69912,                0.46329,                 1.3919,                0.87547,                 1.6262,              0.0093083,              0.0093083,              0.0093083
                     21,                 1.1709,                0.70112,                 1.0946,                0.77189,                0.64503,                0.71914,                0.46184,                 1.4469,                0.84629,                 1.6848,              0.0092361,              0.0092361,              0.0092361
                     22,                 1.1687,                0.68247,                 1.0925,                0.75019,                0.65674,                0.72633,                0.49584,                 1.3697,                0.84486,                 1.6167,              0.0091606,              0.0091606,              0.0091606
