                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2507,                 4.2014,                 2.1294,                0.28249,                0.22416,                0.15362,                0.06523,                 2.2374,                 3.0845,                 2.1757,              0.0049986,              0.0049986,              0.0049986
                      2,                 2.1997,                 3.2481,                 2.0597,                0.27443,                0.18113,                0.13659,                0.04477,                 2.4104,                 3.3451,                 2.3305,              0.0099492,              0.0099492,              0.0099492
                      3,                 2.2248,                 3.1981,                 2.0768,                0.48127,                0.17214,                 0.1614,                0.06083,                 2.2484,                 3.1064,                 2.2516,               0.009901,               0.009901,               0.009901
                      4,                 2.1813,                 3.0296,                 2.0549,                0.22238,                0.26854,                0.21557,                0.08356,                 2.2252,                  3.025,                 2.1982,              0.0098515,              0.0098515,              0.0098515
                      5,                 2.1539,                 2.9195,                  2.038,                0.27082,                0.29971,                0.24315,                0.10299,                 2.1619,                  2.745,                 2.1686,               0.009802,               0.009802,               0.009802
                      6,                 2.1255,                 2.7895,                 2.0125,                0.43204,                0.26304,                0.22916,                0.09014,                 2.1332,                 2.9073,                 2.1561,              0.0097525,              0.0097525,              0.0097525
                      7,                 2.0888,                 2.6981,                 1.9807,                0.34455,                0.31515,                0.28797,                0.10992,                 2.2066,                 2.7151,                 2.2159,               0.009703,               0.009703,               0.009703
                      8,                  2.059,                 2.6145,                 1.9608,                0.30616,                0.32081,                0.26593,                0.11607,                 2.1058,                 2.6428,                 2.1178,              0.0096535,              0.0096535,              0.0096535
                      9,                 2.0445,                 2.5666,                 1.9446,                0.34036,                0.35989,                0.29141,                 0.1143,                 2.1337,                 2.6249,                 2.1618,               0.009604,               0.009604,               0.009604
                     10,                 2.0173,                 2.4992,                 1.9351,                0.31297,                0.28007,                0.24735,                0.09387,                 2.1768,                 2.7544,                 2.2026,              0.0095545,              0.0095545,              0.0095545
