                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3339,                 4.6543,                 2.2765,                0.31765,                0.17761,                0.12978,                0.05022,                 2.3186,                 3.4632,                  2.411,              0.0049986,              0.0049986,              0.0049986
                      2,                 2.2896,                 3.3885,                 2.1574,                0.46082,                 0.1676,                0.13149,                0.04789,                 2.2768,                 3.3435,                 2.3672,              0.0099789,              0.0099789,              0.0099789
                      3,                 2.3176,                 3.3297,                 2.1517,                0.44782,                0.22975,                0.15963,                0.05955,                 2.3059,                 3.2134,                 2.3455,              0.0099604,              0.0099604,              0.0099604
                      4,                 2.2708,                 3.1462,                 2.1391,                 0.4018,                0.19147,                0.16679,                0.06929,                 2.2653,                 3.1833,                 2.3736,              0.0099406,              0.0099406,              0.0099406
                      5,                 2.2392,                 3.0339,                 2.1177,                0.39006,                0.23614,                0.21391,                0.08288,                 2.2467,                 2.8401,                 2.3297,              0.0099208,              0.0099208,              0.0099208
                      6,                 2.2048,                 2.9076,                 2.0914,                0.24462,                0.27751,                0.21875,                0.08301,                 2.2156,                 2.8913,                 2.3367,               0.009901,               0.009901,               0.009901
                      7,                 2.1687,                  2.831,                 2.0706,                0.41942,                0.32498,                  0.301,                0.12036,                 2.1702,                 2.6471,                 2.2877,              0.0098812,              0.0098812,              0.0098812
                      8,                 2.1452,                   2.74,                 2.0495,                0.34458,                0.30426,                0.25517,                0.09729,                 2.1635,                 2.7153,                 2.2925,              0.0098614,              0.0098614,              0.0098614
                      9,                 2.1264,                 2.6793,                 2.0302,                0.31655,                0.31979,                0.27288,                0.10309,                 2.1978,                 2.6901,                 2.3186,              0.0098416,              0.0098416,              0.0098416
                     10,                 2.1057,                 2.6348,                  2.015,                0.28583,                0.30578,                0.23214,                0.07706,                 2.2388,                 2.9267,                 2.4005,              0.0098218,              0.0098218,              0.0098218
                     11,                 2.0957,                 2.5962,                 2.0084,                0.39513,                0.34716,                0.31546,                0.12432,                 2.1602,                 2.5886,                 2.3066,               0.009802,               0.009802,               0.009802
                     12,                 2.0882,                 2.5369,                  2.002,                0.40117,                0.25893,                0.26685,                0.10743,                  2.163,                 2.7024,                 2.3457,              0.0097822,              0.0097822,              0.0097822
                     13,                   2.07,                 2.4956,                 1.9791,                0.37289,                0.31785,                0.28697,                0.11335,                 2.1694,                 2.6503,                 2.3245,              0.0097624,              0.0097624,              0.0097624
                     14,                 2.0515,                 2.4564,                 1.9656,                0.35965,                0.30872,                0.28506,                 0.1064,                 2.1828,                 2.6202,                 2.3148,              0.0097426,              0.0097426,              0.0097426
                     15,                 2.0418,                 2.4133,                 1.9503,                0.37701,                0.35341,                0.31222,                0.11983,                 2.1735,                  2.585,                 2.3104,              0.0097228,              0.0097228,              0.0097228
                     16,                 2.0274,                 2.3722,                 1.9354,                0.36503,                0.34456,                0.31417,                 0.1253,                 2.1318,                 2.5154,                 2.2791,               0.009703,               0.009703,               0.009703
                     17,                 2.0195,                 2.3375,                 1.9263,                0.38712,                0.32439,                0.31736,                0.13001,                 2.1425,                 2.5316,                 2.2889,              0.0096832,              0.0096832,              0.0096832
                     18,                 2.0015,                 2.2759,                 1.9201,                0.39331,                0.34547,                 0.3026,                0.11921,                 2.1662,                 2.6099,                 2.3013,              0.0096634,              0.0096634,              0.0096634
                     19,                  1.996,                 2.2488,                 1.9204,                0.38569,                0.33353,                0.30671,                0.12046,                 2.1436,                 2.5707,                  2.288,              0.0096436,              0.0096436,              0.0096436
                     20,                 1.9959,                 2.2401,                 1.8978,                0.43389,                0.32898,                0.31668,                0.12566,                 2.1849,                 2.4704,                 2.2944,              0.0096238,              0.0096238,              0.0096238
                     21,                 1.9797,                 2.1893,                 1.8873,                  0.346,                0.34441,                0.27387,                0.09806,                 2.2257,                 2.6275,                 2.3494,               0.009604,               0.009604,               0.009604
                     22,                 1.9702,                 2.1944,                 1.8884,                0.38669,                0.32933,                0.30101,                0.11838,                 2.1912,                 2.5798,                 2.3012,              0.0095842,              0.0095842,              0.0095842
