                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1343,                 5.1367,                 2.2168,                0.35376,                 0.2426,                0.16664,                0.06878,                 2.1831,                 3.1618,                 2.2469,              0.0049973,              0.0049973,              0.0049973
                      2,                 2.0361,                 2.9389,                 2.1131,                0.54109,                0.15643,                0.14878,                0.06534,                 2.2407,                 3.3793,                 2.2658,              0.0098983,              0.0098983,              0.0098983
                      3,                 2.0403,                 2.7592,                 2.1012,                0.28377,                0.25527,                0.22623,                0.09169,                 2.1735,                 2.8269,                 2.1694,               0.009802,               0.009802,               0.009802
                      4,                 1.9571,                 2.4876,                  2.034,                0.31863,                0.29264,                0.26561,                0.11233,                 2.2186,                 2.7661,                  2.244,               0.009703,               0.009703,               0.009703
                      5,                  1.891,                 2.2546,                 1.9687,                 0.3936,                 0.3111,                0.30998,                0.13539,                 2.1396,                 2.4411,                 2.1603,               0.009604,               0.009604,               0.009604
                      6,                 1.8382,                 2.0214,                 1.9125,                0.29171,                 0.3188,                0.26538,                0.10705,                 2.2092,                 2.5876,                 2.1845,               0.009505,               0.009505,               0.009505
                      7,                 1.7756,                  1.872,                 1.8543,                 0.3713,                0.33285,                0.29026,                0.11809,                 2.2422,                  2.661,                 2.2174,               0.009406,               0.009406,               0.009406
                      8,                 1.7198,                 1.6782,                 1.8095,                0.43616,                0.33507,                0.31095,                0.12948,                 2.2773,                 2.5563,                 2.2441,               0.009307,               0.009307,               0.009307
                      9,                 1.6739,                 1.5586,                 1.7653,                0.40755,                0.33373,                0.31588,                0.11996,                 2.2906,                 2.5588,                 2.2359,               0.009208,               0.009208,               0.009208
                     10,                 1.6177,                 1.4249,                 1.7282,                0.37538,                0.32305,                0.29283,                0.12168,                 2.3636,                 2.6637,                 2.3568,               0.009109,               0.009109,               0.009109
                     11,                 1.5697,                 1.3344,                 1.6803,                0.46102,                0.33518,                0.31398,                0.12841,                 2.3489,                 2.6591,                 2.3779,                0.00901,                0.00901,                0.00901
                     12,                 1.5302,                 1.2432,                 1.6479,                0.43674,                0.33166,                0.31729,                0.11762,                 2.3887,                  2.582,                 2.3898,               0.008911,               0.008911,               0.008911
                     13,                 1.4758,                 1.1703,                 1.6056,                0.38757,                0.36948,                0.31252,                0.11626,                 2.3849,                   2.52,                 2.4227,               0.008812,               0.008812,               0.008812
                     14,                 1.4449,                 1.1115,                 1.5844,                0.38065,                0.35733,                0.29834,                0.11394,                 2.4447,                 2.6523,                 2.5138,               0.008713,               0.008713,               0.008713
                     15,                 1.4056,                 1.0505,                  1.548,                0.41487,                0.32415,                0.29144,                0.10808,                  2.443,                  2.705,                 2.4381,               0.008614,               0.008614,               0.008614
                     16,                 1.3782,                0.98885,                 1.5233,                0.45343,                 0.3262,                0.32716,                0.12755,                 2.4226,                 2.5403,                 2.4862,               0.008515,               0.008515,               0.008515
                     17,                  1.341,                 0.9479,                 1.4932,                0.38983,                 0.3218,                0.28028,                  0.106,                 2.4875,                 2.7155,                 2.5407,               0.008416,               0.008416,               0.008416
                     18,                 1.3159,                0.90582,                 1.4741,                0.39104,                0.33176,                0.29095,                0.11639,                 2.4404,                  2.634,                 2.5022,               0.008317,               0.008317,               0.008317
                     19,                 1.2856,                0.87172,                 1.4523,                 0.4083,                0.30911,                0.28236,                 0.1014,                 2.5284,                 2.7037,                 2.5918,               0.008218,               0.008218,               0.008218
                     20,                 1.2552,                0.84831,                 1.4279,                0.40012,                0.31089,                0.28246,                0.10288,                 2.5724,                 2.6237,                 2.6384,               0.008119,               0.008119,               0.008119
                     21,                 1.2366,                0.81128,                 1.4133,                0.49266,                0.28788,                0.29615,                0.10865,                 2.5631,                 2.7253,                 2.6689,                0.00802,                0.00802,                0.00802
                     22,                 1.2164,                0.79982,                 1.3978,                 0.4159,                0.31059,                 0.2873,                0.10726,                 2.5674,                 2.7782,                 2.6656,               0.007921,               0.007921,               0.007921
                     23,                 1.1922,                0.78101,                 1.3762,                0.46551,                0.31512,                0.28958,                0.10946,                 2.5808,                 2.7067,                 2.6927,               0.007822,               0.007822,               0.007822
                     24,                 1.1685,                0.75347,                 1.3639,                0.44545,                0.32981,                0.30315,                0.10961,                 2.6515,                  2.592,                 2.7967,               0.007723,               0.007723,               0.007723
                     25,                 1.1484,                0.73224,                 1.3426,                0.53358,                0.27608,                0.29597,                0.10714,                 2.6393,                 2.7543,                 2.7648,               0.007624,               0.007624,               0.007624
