                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0627,                  4.299,                 2.0641,                0.35628,                0.17095,                0.11897,                0.04764,                 2.2199,                 3.3119,                 2.2199,              0.0049946,              0.0049946,              0.0049946
                      2,                 1.9955,                 2.8703,                 1.9529,                0.28483,                0.22048,                0.16939,                0.07172,                 2.1825,                 3.1146,                 2.1727,              0.0098956,              0.0098956,              0.0098956
                      3,                 2.0326,                 2.8274,                 1.9808,                0.22554,                0.29933,                0.19964,                0.08713,                 2.1167,                 2.8441,                 2.0745,               0.009802,               0.009802,               0.009802
                      4,                 1.9696,                 2.5582,                  1.928,                0.29389,                0.28793,                 0.2479,                0.10712,                 2.0278,                 2.7719,                 2.0792,               0.009703,               0.009703,               0.009703
                      5,                 1.9108,                 2.3566,                 1.8829,                0.39541,                0.31879,                0.32348,                0.13867,                 2.0917,                 2.4901,                 2.1052,               0.009604,               0.009604,               0.009604
                      6,                 1.8667,                 2.1788,                 1.8456,                0.43697,                0.35522,                0.32857,                0.14557,                 2.0392,                 2.4391,                 1.9789,               0.009505,               0.009505,               0.009505
                      7,                 1.8345,                 2.0414,                 1.8107,                0.40212,                 0.3596,                0.31731,                 0.1367,                  2.122,                 2.4528,                  2.092,               0.009406,               0.009406,               0.009406
                      8,                 1.7918,                 1.9166,                 1.7831,                0.44913,                0.38168,                0.35377,                0.15202,                 2.0414,                  2.336,                 2.0758,               0.009307,               0.009307,               0.009307
                      9,                 1.7622,                 1.7944,                 1.7541,                0.49552,                0.40954,                 0.3772,                0.15371,                 2.1181,                 2.3683,                 2.1146,               0.009208,               0.009208,               0.009208
                     10,                 1.7232,                 1.6924,                 1.7204,                 0.3836,                0.35492,                0.31625,                0.12927,                 2.2021,                 2.4623,                 2.1905,               0.009109,               0.009109,               0.009109
                     11,                 1.6797,                 1.6158,                 1.6936,                0.46634,                0.38344,                0.34625,                0.14193,                 2.1151,                 2.3582,                 2.1532,                0.00901,                0.00901,                0.00901
                     12,                 1.6463,                 1.5059,                 1.6643,                0.50591,                0.39229,                0.36124,                0.14177,                   2.21,                 2.3706,                 2.2316,               0.008911,               0.008911,               0.008911
                     13,                 1.6068,                 1.4321,                 1.6189,                0.50687,                 0.2896,                0.31037,                0.12822,                 2.1587,                 2.4286,                 2.2108,               0.008812,               0.008812,               0.008812
                     14,                 1.5807,                  1.366,                 1.6051,                0.47061,                0.36942,                0.34421,                0.13456,                 2.2582,                 2.4137,                 2.2487,               0.008713,               0.008713,               0.008713
                     15,                 1.5474,                 1.3058,                  1.569,                0.52259,                0.36658,                0.36225,                0.15197,                 2.2029,                 2.3925,                 2.2415,               0.008614,               0.008614,               0.008614
                     16,                  1.514,                 1.2476,                 1.5435,                0.53152,                0.37789,                0.36311,                0.15251,                 2.1759,                  2.285,                 2.2111,               0.008515,               0.008515,               0.008515
                     17,                 1.4931,                 1.2063,                 1.5296,                0.50595,                0.37736,                0.35707,                0.14594,                 2.3093,                  2.308,                 2.3508,               0.008416,               0.008416,               0.008416
                     18,                  1.457,                 1.1669,                 1.5036,                0.51287,                 0.3561,                0.35617,                0.14845,                 2.2463,                 2.4034,                 2.3186,               0.008317,               0.008317,               0.008317
                     19,                 1.4258,                 1.1157,                 1.4781,                0.51764,                0.39313,                0.38923,                0.15696,                 2.2491,                 2.2859,                 2.3183,               0.008218,               0.008218,               0.008218
                     20,                 1.4007,                 1.0808,                 1.4641,                0.54526,                0.33951,                0.34296,                0.14238,                 2.2984,                 2.3734,                 2.3595,               0.008119,               0.008119,               0.008119
                     21,                 1.3805,                 1.0452,                 1.4437,                0.49961,                 0.3634,                0.35895,                0.14672,                 2.2813,                  2.341,                  2.331,                0.00802,                0.00802,                0.00802
                     22,                 1.3451,                 1.0133,                 1.4113,                0.47727,                0.36638,                0.36559,                0.15127,                 2.2803,                 2.2997,                 2.3314,               0.007921,               0.007921,               0.007921
                     23,                 1.3224,                0.96644,                 1.3959,                 0.5114,                0.33291,                0.34998,                0.14011,                   2.31,                 2.3472,                 2.3628,               0.007822,               0.007822,               0.007822
                     24,                 1.3068,                0.95755,                 1.3895,                0.49312,                0.35979,                 0.3407,                0.13914,                 2.3264,                 2.3811,                  2.384,               0.007723,               0.007723,               0.007723
                     25,                 1.2808,                0.91499,                 1.3637,                0.43013,                0.42278,                0.36978,                0.15884,                  2.331,                 2.2984,                 2.3967,               0.007624,               0.007624,               0.007624
                     26,                 1.2643,                0.91224,                 1.3583,                0.57959,                0.33476,                0.34845,                0.14615,                 2.3279,                 2.3135,                 2.4129,               0.007525,               0.007525,               0.007525
                     27,                 1.2479,                0.88667,                 1.3398,                0.46219,                0.37891,                0.35577,                0.14124,                 2.2761,                 2.3441,                  2.365,               0.007426,               0.007426,               0.007426
                     28,                 1.2221,                0.86902,                 1.3233,                0.43947,                0.35896,                0.33725,                0.14484,                 2.3461,                 2.3045,                  2.458,               0.007327,               0.007327,               0.007327
                     29,                  1.203,                 0.8401,                 1.3091,                0.50933,                0.37847,                0.35962,                0.14705,                  2.376,                 2.2412,                 2.4608,               0.007228,               0.007228,               0.007228
                     30,                 1.1902,                0.83536,                 1.3032,                0.40189,                0.37238,                0.31841,                0.14135,                 2.3132,                 2.3992,                 2.4524,               0.007129,               0.007129,               0.007129
                     31,                 1.1693,                0.81235,                 1.2813,                 0.4138,                0.37301,                0.32705,                0.14079,                  2.338,                 2.3291,                 2.4826,                0.00703,                0.00703,                0.00703
                     32,                  1.153,                0.79646,                 1.2733,                0.54155,                0.33898,                0.34989,                0.14734,                 2.3887,                 2.3443,                 2.4887,               0.006931,               0.006931,               0.006931
                     33,                 1.1349,                0.78158,                 1.2551,                0.48299,                0.35954,                0.32812,                0.13226,                 2.3816,                 2.3404,                 2.5214,               0.006832,               0.006832,               0.006832
                     34,                  1.118,                0.77057,                 1.2516,                0.51251,                 0.3543,                 0.3517,                0.14547,                 2.4011,                 2.3832,                 2.5889,               0.006733,               0.006733,               0.006733
                     35,                 1.1026,                0.75248,                 1.2384,                0.53519,                0.30624,                0.31591,                  0.136,                 2.3527,                 2.5072,                 2.4963,               0.006634,               0.006634,               0.006634
                     36,                 1.0863,                0.74962,                 1.2325,                0.57354,                0.31934,                0.33268,                0.13981,                  2.328,                 2.4639,                  2.516,               0.006535,               0.006535,               0.006535
                     37,                 1.0794,                0.72333,                 1.2276,                0.46262,                0.37152,                 0.3291,                0.13993,                 2.3561,                 2.4495,                 2.4876,               0.006436,               0.006436,               0.006436
                     38,                 1.0531,                0.70688,                 1.2044,                0.49294,                0.36784,                 0.3434,                0.14518,                 2.3901,                 2.3081,                 2.5919,               0.006337,               0.006337,               0.006337
                     39,                 1.0568,                0.70646,                 1.2011,                0.54515,                0.32453,                0.32906,                0.14799,                 2.3356,                 2.3915,                 2.5338,               0.006238,               0.006238,               0.006238
